Timestamp,B1_H_L,B1_V_L,B1_H_R,B1_V_R,B2_H_L,B2_V_L,B2_H_R,B2_V_R
1449158625,-5.625451776132048,-3.2636406335241688,0.8384026178223166,-0.34227347621385656,-16.11240447704858,-10.354517129566773,6.505272678824421,4.827305043507623
1449158627,-5.578131057610255,-3.1368376381756717,0.8686107687227705,-0.33728044500502,-16.215519302639848,-10.366315530431224,6.525060586672216,4.805841253892946
1449158629,-5.624590731278894,-3.3187651767083874,0.9290120550771268,-0.36782782095829136,-16.094703542078165,-10.231491534837225,6.5428500026107566,4.952967529571566
1449158631,-5.524720443192994,-3.3515756807499484,0.9154483544055396,-0.3781350129665487,-16.1895164820827,-10.261955951371462,6.593132841849481,4.969261878217922
1449158633,-5.485773132153689,-3.3545986597704367,0.9865044348841896,-0.3992893200509382,-16.170047467148088,-10.296488811362623,6.562445412977562,4.877048538273045
1449158635,-5.5928606386782596,-3.491504964042775,0.8308564486227022,-0.1997625031537223,-16.04805689258851,-10.257892441632194,6.571817147121192,4.8088141112212615
1449158637,-5.51736796353659,-3.2923452564619744,0.8103761687651918,-0.2132836148658652,-16.067622063328336,-10.272595677464162,6.54472899987586,4.925025131452836
1449158639,-5.538052622452434,-3.273979107913255,0.8412839735794906,-0.2534134096852373,-15.989781691715065,-10.37297024503112,6.49404297088559,4.865352055311059
1449158641,-5.6706152467409,-3.254739630885209,0.8235218676664141,-0.18831871690273952,-16.065813990456153,-10.55803466270796,6.54616850168696,4.915158864040876
1449158643,-5.641608298044474,-3.4920588194764113,0.8322802358988381,-0.3197578670755821,-15.97482614077536,-10.45021865316309,6.4239559959831,4.825873409638397
1449158645,-5.604020392245866,-3.3283805219920084,0.8226449920452924,-0.3509511272378572,-16.096911712656492,-10.451543207052836,6.462395734043263,4.832262297206106
1449158647,-5.562893339873939,-3.2293743968656345,0.7476604012116086,-0.32092893904704234,-16.073340706215664,-10.288340845061546,6.4894632876887535,4.857430005855237
1449158649,-5.689405379834371,-3.171656415399544,0.8109614030328105,-0.18277467604449632,-16.004092270746845,-10.316312378108302,6.413453940826048,4.803655020821964
1449158651,-5.5857530453853155,-3.009661750266877,0.7986497554906915,-0.3713165168497293,-15.9311529872296,-10.451996233993704,6.435021826197091,4.730082393381872
1449158653,-5.697978434963972,-3.1893805341042563,0.7525622898380651,-0.3517937798831429,-15.902364424602807,-10.218013048699847,6.459534851005063,4.706774272188103
1449158655,-5.689666557411991,-3.3388455701691435,0.7470670116570263,-0.3663327356118791,-16.064607547026114,-10.232025710335083,6.463961536717774,4.809916469586764
1449158657,-5.492141877718988,-3.459058397163785,0.7628609865985049,-0.32939662261638497,-16.032360180205178,-10.259348120470767,6.352382912453427,4.846248763331965
1449158659,-5.555099352902009,-3.5497482294854934,0.7514099184143557,-0.3740801671849212,-15.993609873085475,-10.318989680876742,6.387251117632638,4.8569616438931975
