Timestamp,B1_H_L,B1_H_R,B1_V_L,B1_V_R,B2_H_L,B2_H_R,B2_V_L,B2_V_R
1530355537,-6.49048,-5.76902,0.732459,-3.61263,-6.11326,-6.33291,2.4632,1.71771
1530355539,-6.17892,-5.87855,0.482415,-3.63619,-6.35866,-6.20709,2.03944,1.51051
1530355541,-6.10128,-5.1974,-0.146893,-3.7042,-6.27244,-5.7985,2.19617,1.71085
1530355543,-6.81679,-5.73337,-1.13224,-3.96298,-6.00143,-5.99384,2.3888,2.7209
1530355545,-6.74163,-5.21871,-1.56,-4.10684,-6.23234,-6.16223,3.15399,2.0675
1530355547,-6.72074,-5.41279,-1.27459,-3.58392,-6.14934,-5.84435,2.79805,3.48748
1530355549,-6.31282,-5.44808,-1.69016,-3.83166,-6.21008,-5.90135,2.88449,2.92802
1530355551,-6.57393,-5.52809,-2.17499,-4.20353,-5.91967,-6.17618,2.53109,3.17606
1530355553,-6.73847,-5.79196,-1.30929,-4.07926,-5.80229,-6.28634,2.87779,3.28128
1530355555,-6.2239,-5.78587,-0.685226,-3.83474,-6.03009,-5.91789,2.08176,2.65576
1530355557,-6.53546,-5.71526,-0.799371,-3.54878,-6.40802,-6.16247,2.39116,2.91042
1530355559,-5.84182,-5.22451,-1.94574,-3.11932,-6.29658,-6.72087,2.57201,2.42321
1530355561,-6.53833,-5.60396,-1.93536,-3.33944,-6.29534,-6.81763,2.46405,2.36659
1530355563,-6.70797,-5.40514,-2.08575,-2.98659,-6.2016,-6.55346,2.28352,2.49077
1530355565,-6.78564,-5.70705,-0.716791,-3.71574,-6.33165,-6.04997,2.28015,3.31148
1530355567,-5.9802,-5.64615,-0.495634,-3.90082,-6.00207,-6.64367,2.88736,2.56744
1530355569,-6.15182,-5.32832,-0.0113191,-4.30808,-6.50895,-6.18622,3.20273,2.98859
1530355571,-6.06208,-5.41679,-0.281307,-4.44623,-6.98654,-7.03562,2.90905,3.40962
1530355573,-6.10066,-5.59471,-1.20948,-3.89393,-6.33141,-6.61777,2.68185,3.32276
1530355575,-5.74834,-5.41505,-1.35612,-3.07844,-6.12501,-6.45002,3.23536,3.46783
1530355577,-5.79669,-5.47999,-1.27585,-3.14059,-6.38936,-6.56932,2.77602,2.99386
1530355579,-6.10666,-5.73338,-1.79822,-3.67223,-6.60676,-7.11805,3.04206,3.35507
1530355581,-6.08774,-5.22072,-0.978835,-2.11068,-6.43889,-6.52525,2.58009,3.07435
1530355583,-6.05746,-5.62895,-0.566142,-3.31644,-5.96416,-6.33098,2.63173,3.6633
1530355585,-6.13396,-5.44295,-0.533796,-2.42331,-5.84699,-6.83021,2.80656,2.91326
1530355587,-6.36421,-5.16874,-0.234255,-1.95994,-5.88945,-6.46183,2.74017,3.02158
1530355589,-6.28493,-5.30349,-0.0672697,-2.88014,-5.69031,-6.57936,2.91019,2.95318
1530355591,-6.43527,-5.2331,0.242202,-4.22936,-5.61761,-6.72332,2.86743,2.95299
1530355593,-6.41933,-4.64056,-0.152522,-3.9738,-6.41095,-6.65744,2.79078,4.18811
1530355595,-6.21497,-4.90519,-0.340403,-3.68081,-6.76589,-6.63048,2.62989,4.02101
1530355597,-6.21886,-4.70491,-1.13159,-2.48531,-6.2089,-5.83388,2.9098,2.79502
1530355599,-5.83953,-4.42576,-0.75719,-2.63412,-6.37443,-6.11163,2.42599,3.8066
1530355601,-5.86332,-4.61763,-0.0186347,-2.31718,-6.18801,-6.67164,2.28736,2.59848
1530355603,-6.24198,-5.0514,-0.451846,-2.55712,-5.95383,-6.61926,2.7876,2.81409
1530355605,-5.93657,-5.06543,0.350282,-1.36074,-5.6928,-6.5593,2.36603,2.97897
