Timestamp,B1_H_L,B1_H_R,B1_V_L,B1_V_R,B2_H_L,B2_H_R,B2_V_L,B2_V_R
1543463807,-0.00828404,-0.0976687,0.272205,0.049775,-0.0881547,-0.0321664,0.0393273,-0.204514
1543463808,-0.0364068,-0.132433,0.159379,-0.0294032,-0.0987838,-0.00664026,0.05351,-0.229025
1543463809,-0.0616614,-0.0813093,0.210077,0.0207819,-0.0516191,-0.00384961,0.0195886,-0.15326
1543463810,-0.0496658,-0.138108,0.0932822,-0.0284871,-0.027484,0.102183,0.00189496,-0.209031
1543463811,-0.0376049,-0.168133,0.113979,-0.0285481,-0.118115,0.0559187,0.0611866,-0.202772
1543463812,0.0284714,-0.133832,0.135829,-0.0329532,-0.095974,0.0278849,0.113462,-0.18464
1543463813,-0.0472501,-0.16178,0.0598093,0.00368514,-0.0725942,-0.0298861,0.183379,-0.236105
1543463814,-0.0943712,-0.204379,-0.0221345,0.035673,-0.0785946,0.0422456,0.142436,-0.171103
1543463815,-0.0659978,-0.0747675,0.0227967,0.0376904,-0.0740925,-0.0361357,0.110581,-0.239714
1543463816,-0.145099,-0.142587,0.0406661,0.0966603,-0.0191195,0.0472341,0.0774832,-0.263782
1543463817,-0.0781358,-0.0148603,0.132999,0.0692101,-0.00477047,0.00407759,0.115939,-0.197285
1543463818,-0.112389,-0.0677698,0.184009,0.0137136,0.00522969,0.0193721,0.101922,-0.138043
1543463819,-0.135256,-0.103332,0.302702,0.0144558,-0.00706189,0.0626865,0.100934,-0.129898
1543463820,-0.0754692,-0.0941969,0.307246,0.00350057,-0.0348789,-0.0273875,0.0596299,-0.119923
1543463821,-0.133885,-0.0944844,0.266509,0.042429,0.0392352,-0.019603,0.0980199,-0.187688
1543463822,-0.0673824,-0.0206733,0.277503,-0.0310644,0.0571826,-0.012836,0.0791747,-0.202851
1543463823,0.0429424,0.0310049,0.141107,-0.0849017,0.0687125,0.0534097,0.0693241,-0.185341
1543463824,0.0182857,0.156705,0.112589,-0.0582019,0.107769,0.0368646,0.0237032,-0.280405
1543463825,-0.0219033,0.113762,0.183104,0.0773136,0.0536182,0.0421377,0.0702175,-0.301579
1543463826,-0.197775,-0.042348,0.101207,-0.0472272,0.0133642,-0.0551961,0.135439,-0.323237
1543463827,-0.142751,-0.0740564,-0.00131594,-0.0701426,-0.00293208,0.0212611,0.1507,-0.209921
1543463828,-0.136887,-0.0913748,0.0523508,0.0142602,-0.00547426,-0.0153799,0.124048,-0.202353
1543463829,-0.222836,-0.0920154,-0.0246645,0.084233,-0.0240613,-0.0519329,0.168435,-0.167698
1543463830,-0.149454,-0.0774907,0.0704288,0.014997,-0.0714066,-0.0591407,0.196839,-0.2095
1543463831,-0.144324,-0.0286667,0.178413,-0.0343034,-0.0453038,0.0273561,0.0736504,-0.239844
1543463832,-0.18144,0.0250941,0.333248,-0.00272613,-0.0163953,0.029095,0.201925,-0.238293
1543463833,-0.235041,0.0198229,0.354204,0.12718,-0.0719208,-0.0671674,0.222547,-0.284791
1543463834,-0.132812,0.0974028,0.320577,0.133771,-0.0862053,0.00803169,0.184054,-0.247685
1543463835,-0.179615,0.0375094,0.220092,0.12864,0.0027991,0.0151355,0.241744,-0.271529
1543463836,-0.0853407,0.0749155,0.141991,0.0938718,-0.0297714,-0.0218666,0.0938049,-0.261266
1543463837,-0.118664,0.0137169,0.215746,0.148459,-0.0145535,0.0382043,0.0622111,-0.104816
1543463838,-0.173405,0.00849774,0.186381,-0.0180197,-0.00504826,-0.0496199,0.122357,-0.0467057
1543463839,-0.0839419,-0.00388511,0.110523,-0.115715,-0.0127351,-0.00385194,0.199305,-0.0837641
1543463840,-0.173468,-0.0303709,0.0944564,-0.0230879,-0.0106545,-0.0224888,0.202842,-0.230242
1543463841,0.0236211,0.0397684,0.0886124,0.00168203,-0.0326347,-0.0515296,0.153202,-0.304464
1543463842,-0.123294,-0.100284,0.14117,-0.061764,0.0335625,-0.0813428,0.207332,-0.266214
1543463843,0.0639432,-0.0100957,0.22832,-0.0406495,0.0299688,-0.050054,0.197361,-0.348369
1543463844,-0.00996836,-0.0801616,0.324396,0.0200316,-0.0431496,-0.0307029,0.175347,-0.27231
1543463845,-0.0238316,-0.0353994,0.352335,-0.0220125,-0.031209,-0.1161,0.105181,-0.171295
1543463846,-0.0589422,-0.105049,0.275739,0.00124386,-0.0268742,-0.0499328,0.0982497,-0.156002
1543463847,0.0523861,-0.0331562,0.22078,0.0218586,-0.0759057,0.0146359,0.0549999,-0.252616
1543463848,0.0334945,-0.0397764,0.199235,0.0186497,0.0186969,0.0249177,-0.0220287,-0.269956
1543463849,-0.0213179,-0.134004,0.0821772,0.0979447,-0.0367135,0.00120841,0.00721358,-0.347329
1543463850,-0.0396008,-0.0951093,0.0859785,0.0387004,-0.0345675,-0.0343341,0.0489695,-0.38202
1543463851,-0.0552046,-0.0389171,0.122054,0.0657849,-0.0150985,0.000291142,0.000447882,-0.363368
1543463852,-0.063085,-0.0231586,0.0962298,0.118022,-0.0492128,0.0362909,-0.0365814,-0.401967
1543463853,0.0162076,-0.00296311,0.0626761,0.067906,-0.0121736,0.0466091,0.0257568,-0.386212
1543463854,-0.0367308,-0.0557657,0.107287,0.0473355,0.0368217,0.107112,0.00126924,-0.438482
1543463855,0.0525926,-0.0447973,0.0845789,0.131644,0.0303805,0.0722992,0.0174525,-0.461693
1543463856,0.0326704,-0.0829913,0.216089,0.125756,0.000910931,0.0763226,0.0660902,-0.334231
1543463857,0.0919676,-0.0422227,0.395257,0.097616,0.0338481,0.0132903,0.0805578,-0.293928
1543463858,0.0644423,-0.0970996,0.312445,-0.000555223,0.0183528,0.0583718,0.16371,-0.285942
1543463859,0.00502521,-0.111786,0.291129,-0.00972821,0.00465714,0.0393269,0.106925,-0.367511
1543463860,0.0287168,-0.0623126,0.307114,0.0108784,0.00347865,0.034428,0.104125,-0.329022
1543463861,0.00916101,-0.131381,0.388048,0.0722944,-0.032645,0.0393171,0.151503,-0.366029
1543463862,0.109053,-0.0970445,0.137642,0.0551911,-0.0292395,0.0245363,0.0661428,-0.455654
1543463863,0.158633,-0.0054311,0.177711,-0.0635859,-0.0207413,0.100271,0.0648285,-0.448564
1543463864,0.146705,0.0738965,0.336498,0.0102152,-0.019415,0.0448493,0.0160861,-0.442302
1543463865,0.277802,0.148506,0.277962,0.0607957,0.0237077,0.0305078,0.0624326,-0.417738
1543463866,0.168697,0.0999213,0.367867,0.0994865,0.0787334,0.0866063,0.0255507,-0.432951
1543463867,0.101735,-0.000283465,0.397574,0.148412,0.0512344,0.0755435,0.0938304,-0.326634
1543463868,0.0664048,-0.111205,0.429923,0.154753,0.0485936,0.106964,0.102154,-0.314552
1543463869,0.022009,-0.169473,0.56701,0.102015,0.092421,0.11845,0.072241,-0.361142
1543463870,0.0935832,-0.045351,0.373199,-0.0225285,0.0722,0.0845446,0.0975034,-0.315759
1543463871,0.112205,-0.0365795,0.443584,-0.0141246,0.0361756,0.0667417,0.18821,-0.333504
1543463872,-2.65936e-05,-0.0384928,0.536784,-0.0363912,-0.00582308,-0.0300119,0.0632028,-0.328233
1543463873,0.123017,0.0324239,0.446508,-0.020622,0.0145839,-0.0320085,0.0522003,-0.360654
1543463874,0.0599419,-0.0935965,0.257357,0.0229881,0.000319122,-0.0336852,0.149985,-0.410899
1543463875,0.260317,0.0171331,0.168518,0.0810775,-0.0371948,0.0348886,0.128982,-0.502282
1543463876,0.223643,-0.0928654,0.052618,0.0901626,-0.0369631,0.0543622,0.115697,-0.534495
1543463877,0.128992,-0.117967,0.134984,0.10568,-0.0052509,0.0381606,0.117831,-0.584773
1543463878,0.0795073,-0.0591353,0.250664,0.054615,0.0248209,0.10615,0.179521,-0.538532
1543463879,0.0558203,-0.0997936,0.271169,0.018829,0.00679873,0.089393,0.126449,-0.503189
1543463880,0.0374656,-0.15378,0.31308,0.102327,0.0507831,0.0526273,0.175979,-0.513984
1543463881,0.0838256,-0.0990649,0.183769,0.105011,-0.0187897,0.0267314,0.122511,-0.455033
1543463882,0.0626017,-0.0728027,0.126839,0.0496112,-0.00986399,-0.00894588,0.14398,-0.419404
1543463883,0.12843,0.0320215,0.123798,0.0326029,-0.0519882,-0.0889611,0.197849,-0.451515
1543463884,-0.0716706,-0.163481,0.135291,0.0248412,-0.0490201,-0.0489016,0.177359,-0.446976
1543463885,-0.0368397,-0.102609,0.228934,-0.054185,0.0238378,-0.0209106,0.145337,-0.464332
1543463886,-0.0171189,-0.176868,0.288152,0.0294902,0.0180438,0.0430833,0.125857,-0.480582
1543463887,0.0372564,-0.0984039,0.278244,0.0382443,0.046518,-0.0417431,0.148822,-0.519317
1543463888,0.0657249,-0.173122,0.262063,-0.0280553,0.0591487,-0.0125291,0.121993,-0.515807
1543463889,0.0476647,-0.179445,0.377944,0.119131,-0.0114182,0.0122595,0.169682,-0.568914
1543463890,0.0436385,-0.166221,0.440947,-0.0196629,-0.0818502,-0.0691101,0.19868,-0.502572
1543463891,0.0286471,-0.18231,0.387972,0.121208,-0.0336058,-0.0564386,0.213136,-0.377239
1543463892,0.0170565,-0.169879,0.490295,-0.0179694,-0.0719737,-0.119359,0.139519,-0.432333
1543463893,0.0304925,-0.158944,0.443206,0.0454477,-0.0385214,-0.117659,0.179002,-0.397451
1543463894,0.00063323,-0.141671,0.443387,-0.0275408,-0.0225892,-0.0315044,0.184632,-0.383276
1543463895,-0.0195691,-0.137755,0.247391,-0.00748596,-0.0576904,-0.0313902,0.104645,-0.373967
1543463896,0.0790166,-0.147015,0.205471,-0.0830877,-0.0826903,-0.0553209,0.0571499,-0.310501
1543463897,0.0511096,-0.153264,0.179618,-0.0356134,-0.060653,-0.014953,0.0900711,-0.276438
1543463898,0.084244,-0.0746701,0.160552,-0.062977,-0.0740723,-0.0474737,0.109174,-0.282783
1543463899,0.182052,-0.0521436,0.318504,-0.0487502,-0.0704262,0.0177683,0.102587,-0.429696
1543463900,-0.0212978,-0.116226,0.23748,-0.054523,0.0202691,-0.000175155,0.0516727,-0.487325
1543463901,0.0709972,-0.0982093,0.214671,-0.0859291,0.0398337,0.0296669,0.191456,-0.559507
1543463902,0.0138221,-0.14248,0.286489,-0.0666943,0.115035,0.037672,0.163917,-0.540665
1543463903,0.0873466,-0.100672,0.225367,-0.044434,0.0616726,0.0265382,0.173399,-0.51658
1543463904,0.0358482,-0.0563194,0.0926459,-0.0336243,0.135614,0.0435718,0.116984,-0.414569
1543463905,0.184842,0.00890868,0.100088,0.0117148,0.104903,-0.00683256,0.102815,-0.479606
1543463906,0.148939,0.0351465,0.0906008,0.0730709,0.0486746,0.0451025,0.090243,-0.428439
1543463907,0.116068,0.0490759,0.0876315,0.148729,-0.0775355,-0.0408067,-0.000346643,-0.397815
1543463908,0.0953639,-0.0929033,0.123215,0.0678599,-0.0462934,-0.0331087,0.0953924,-0.316118
1543463909,0.168275,-0.110156,0.140811,0.0699458,-0.107004,0.0233036,0.0856274,-0.322608
1543463910,0.0892222,-0.0745635,0.176841,0.0608962,-0.0794001,0.0354433,0.104744,-0.443258
1543463911,0.082118,-0.0860495,0.262321,0.143407,-0.0768435,0.00406363,0.0926017,-0.465543
1543463912,0.0714169,-0.102575,0.125573,0.0536144,-0.0881244,-0.0155448,0.0824303,-0.450522
1543463913,0.0160414,-0.0426058,0.171876,0.0811545,0.0327308,0.00971348,0.0146164,-0.4721
1543463914,-0.0233795,-0.0941098,0.284811,0.0901267,-0.0577313,-0.0113616,0.110017,-0.487907
1543463915,0.097337,-0.00590005,0.322807,0.127759,-0.029193,0.0146239,0.158919,-0.474099
1543463916,-0.061037,-0.0846136,0.309493,0.115523,-0.0888236,-0.0120095,0.146163,-0.528664
1543463917,-0.0257695,-0.0999191,0.263868,0.0742567,-0.0497035,0.0759193,0.0627591,-0.542794
1543463918,-0.0100524,-0.0445667,0.257676,0.0492849,-0.0219025,0.0522037,0.104434,-0.552099
1543463919,-0.0679825,-0.0305055,0.260118,0.0555565,-0.0622695,0.0772901,0.0847045,-0.618968
1543463920,-0.0989216,-0.104026,0.234061,0.0686808,-0.0726095,0.00534785,0.113208,-0.576923
1543463921,-0.162092,-0.160239,0.152588,0.0783421,-0.0228313,0.00722958,0.172572,-0.498017
1543463922,-0.149278,-0.109817,0.0998357,0.0682666,0.00996621,0.0299236,0.0987422,-0.616008
1543463923,-0.055548,-0.102398,0.125389,0.016951,-0.0464288,0.0710941,0.212415,-0.613909
1543463924,-0.0557527,-0.0516876,0.156364,0.0218719,-0.0820645,0.0529171,0.255997,-0.610947
1543463925,-0.0374288,-0.0266463,0.114097,-0.00124861,-0.0568964,0.0281909,0.229223,-0.593556
1543463926,-0.131503,-0.0749562,0.174137,0.0831834,0.00518418,0.107282,0.137151,-0.573894
1543463927,-0.190441,-0.144434,0.193408,-0.0458563,-0.0139622,0.0851482,0.152977,-0.572276
1543463928,-0.12274,-0.120808,0.183469,0.111996,-0.00694047,0.043149,0.153651,-0.531157
1543463929,-0.0517318,-0.046045,0.11752,0.0279446,-0.0512296,0.00985609,0.195087,-0.443614
1543463930,-0.11367,-0.100856,0.0657437,-0.0203722,0.0109338,0.0558754,0.176255,-0.484796
1543463931,-0.122121,-0.0843727,0.0416359,-0.0947895,0.0142548,0.0325195,0.161514,-0.531332
1543463932,-0.0684057,-0.0774875,0.153731,-0.135069,0.0130181,0.0161385,0.0624949,-0.58492
1543463933,-0.0668481,-0.0953559,0.212471,0.0615488,-0.00232319,0.0154946,0.0348455,-0.581688
1543463934,-0.0104867,-0.0192685,0.277271,-0.0359012,0.0217933,0.0373765,0.182829,-0.585071
1543463935,-0.0890674,-0.072091,0.1331,-0.0809901,-0.0164718,0.0191298,0.176903,-0.611301
1543463936,-0.0698297,-0.0711136,0.157028,-0.0654021,-0.0408099,-0.0267899,0.0865715,-0.586107
1543463937,-0.0825122,-0.0479458,0.171934,0.0155056,0.000800029,0.0308685,0.144904,-0.401893
1543463938,-0.140149,-0.0805938,0.213281,-0.0254039,-0.0715272,-0.0085768,0.0578265,-0.377953
1543463939,-0.037454,0.0612887,0.0955487,-0.150055,-0.0320917,-0.0317684,0.0671721,-0.427313
1543463940,-0.0443499,-0.000516189,0.128921,-0.0894929,-0.108459,-0.0316275,0.143977,-0.459898
1543463941,-0.153729,-0.0892005,0.227369,-0.0689266,-0.113234,-0.0228563,0.224025,-0.530868
1543463942,-0.0863737,-0.0294204,0.190585,-0.027367,-0.0847686,-0.0136335,0.172,-0.480929
1543463943,-0.141099,-0.0658943,0.242549,-0.0584562,-0.0676756,0.0575732,0.114516,-0.549727
1543463944,-0.0953806,-0.062995,0.254964,-0.155759,-0.10945,0.0768424,0.0659029,-0.674188
1543463945,0.0227159,0.00801915,0.233437,-0.0657035,-0.0791285,0.105139,0.050326,-0.74221
1543463946,0.0282354,0.0656073,0.321734,-0.0258481,0.00199373,0.180639,0.0342117,-0.713703
1543463947,0.0170052,-0.0133926,0.300492,-0.128602,0.00431309,0.181678,0.150618,-0.731978
1543463948,-0.0379946,-0.0427591,0.186657,-0.0859428,-0.063443,0.123007,0.0104698,-0.808412
1543463949,0.00124358,-0.0491077,0.0857612,-0.0285247,-0.0910899,0.101007,0.0345044,-0.791618
1543463950,-0.0944021,-0.0703192,0.0642124,-0.0814864,-0.0457434,0.117859,0.0637777,-0.765433
1543463951,0.0592256,0.0123008,0.0672183,-0.0704198,-0.133539,0.0896941,0.199306,-0.763943
1543463952,0.092156,0.0156913,0.0747979,-0.164453,-0.0681646,0.170349,0.210972,-0.717568
1543463953,-0.0907846,-0.0520249,0.193525,-0.107528,-0.0531519,0.159333,0.27794,-0.72244
1543463954,-0.00488698,-0.0533916,0.200959,-0.0982939,-0.0361999,0.151067,0.207671,-0.638261
1543463955,0.0446816,0.0106649,0.223802,-0.0662773,-0.0811944,0.0733914,0.196874,-0.616767
1543463956,0.0254956,-0.0180075,0.218962,-0.0624685,-0.0749899,0.166605,0.211354,-0.591109
1543463957,0.0885578,-0.0428436,0.209541,-0.00564246,-0.0302033,0.0651959,0.215149,-0.563903
1543463958,-0.154964,-0.288276,0.246307,-0.0151945,0.0348409,0.211028,0.0891511,-0.684305
1543463959,-0.150646,-0.28173,0.117206,-0.114457,0.0386364,0.253295,0.122215,-0.711183
